Internal_Storage_ID;WeatherbitIO_station_id;latitude;longitude;source;reports;ios2_country;
GR_9V5241;9V5241;33.8;24.6;madis;subhourly;GR;
GR_A8DM9;A8DM9;35.5;25.6;madis;subhourly;GR;
GR_A8RF9;A8RF9;35.8;29.4;madis;subhourly;GR;
GR_A8UX4;A8UX4;35.6;27.6;madis;subhourly;GR;
GR_A8VG3;A8VG3;36.3;19.2;madis;subhourly;GR;
GR_AP157;AP157;40.632;22.951;madis;subhourly;GR;
GR_AR031;AR031;40.583;22.955;madis;subhourly;GR;
GR_AR032;AR032;40.746;22.867;madis;subhourly;GR;
GR_AR035;AR035;38.272;21.745;madis;subhourly;GR;
GR_AR036;AR036;37.72;22.251;madis;subhourly;GR;
GR_AR545;AR545;40.797;22.044;madis;subhourly;GR;
GR_AS451;AS451;38.055;23.85;madis;subhourly;GR;
GR_AS453;AS453;40.691;22.847;madis;subhourly;GR;
GR_AS632;AS632;37.67;21.438;madis;subhourly;GR;
GR_AS852;AS852;40.612;23.095;madis;subhourly;GR;
GR_AT160;AT160;40.419;22.609;madis;subhourly;GR;
GR_AT275;AT275;41.05;23.689;madis;subhourly;GR;
GR_AT300;AT300;40.495;22.886;madis;subhourly;GR;
GR_AT686;AT686;37.921;24.028;madis;subhourly;GR;
GR_AU606;AU606;38.455;23.139;madis;subhourly;GR;
GR_AU610;AU610;37.952;23.748;madis;subhourly;GR;
GR_AU777;AU777;38.012;23.7;madis;subhourly;GR;
GR_AV280;AV280;37.092;25.405;madis;subhourly;GR;
GR_AV365;AV365;39.667;20.854;madis;subhourly;GR;
GR_BAREU65;BAREU65;36.4;22.9;madis;subhourly;GR;
GR_BATFR01;BATFR01;35.8;19.1;madis;subhourly;GR;
GR_C6FW9;C6FW9;36.5;22;madis;subhourly;GR;
GR_C6UA2;C6UA2;36.6;21.8;madis;subhourly;GR;
GR_C7313;C7313;38.116;23.861;madis;subhourly;GR;
GR_C8081;C8081;40.566;22.975;madis;subhourly;GR;
GR_CQFQ;CQFQ;35.4;26;madis;subhourly;GR;
GR_CQIH5;CQIH5;34;23.7;madis;subhourly;GR;
GR_CQIT6;CQIT6;38.2;24.8;madis;subhourly;GR;
GR_D0215;D0215;40.583;22.955;madis;subhourly;GR;
GR_D0494;D0494;40.588;22.997;madis;subhourly;GR;
GR_D2373;D2373;40.52;22.969;madis;subhourly;GR;
GR_D3649;D3649;37.959;23.753;madis;subhourly;GR;
GR_D4782;D4782;40.722;23.713;madis;subhourly;GR;
GR_D5560;D5560;35.253;25.063;madis;subhourly;GR;
GR_D5678;D5678;40.94;24.4;madis;subhourly;GR;
GR_D5751;D5751;39.543;21.258;madis;subhourly;GR;
GR_D6214;D6214;38.01;21.925;madis;subhourly;GR;
GR_D7009;D7009;37.891;23.768;madis;subhourly;GR;
GR_D7760;D7760;38.048;22.073;madis;subhourly;GR;
GR_D7880;D7880;38.084;23.718;madis;subhourly;GR;
GR_D7938;D7938;39.374;22.943;madis;subhourly;GR;
GR_D8452;D8452;38.097;23.732;madis;subhourly;GR;
GR_D9381;D9381;38.317;26.125;madis;subhourly;GR;
GR_DIGX2;DIGX2;39.1;25.5;madis;subhourly;GR;
GR_DJCE2;DJCE2;33.3;26.2;madis;subhourly;GR;
GR_E0407;E0407;38.037;23.826;madis;subhourly;GR;
GR_E0908;E0908;38.47;23.603;madis;subhourly;GR;
GR_E1134;E1134;38.309;23.642;madis;subhourly;GR;
GR_E1514;E1514;40.683;22.949;madis;subhourly;GR;
GR_E1806;E1806;37.038;22.114;madis;subhourly;GR;
GR_E3486;E3486;40.52;23.148;madis;subhourly;GR;
GR_E3752;E3752;40.687;24.626;madis;subhourly;GR;
GR_E3950;E3950;39.749;19.839;madis;subhourly;GR;
GR_E4039;E4039;39.362;22.955;madis;subhourly;GR;
GR_E4115;E4115;38.026;23.778;madis;subhourly;GR;
GR_E5562;E5562;38.45;22.995;madis;subhourly;GR;
GR_E6070;E6070;37.916;23.712;madis;subhourly;GR;
GR_E6644;E6644;39.69;19.739;madis;subhourly;GR;
GR_E6913;E6913;38.06;22.665;madis;subhourly;GR;
GR_E7512;E7512;38.142;23.87;madis;subhourly;GR;
GR_E8605;E8605;38.041;23.84;madis;subhourly;GR;
GR_E9606;E9606;36.437;28.231;madis;subhourly;GR;
GR_E9696;E9696;35.07;24.769;madis;subhourly;GR;
GR_F0446;F0446;38.03;23.895;madis;subhourly;GR;
GR_F1602;F1602;38.194;23.789;madis;subhourly;GR;
GR_F2557;F2557;40.975;22.063;madis;subhourly;GR;
GR_F3157;F3157;40.588;22.951;madis;subhourly;GR;
GR_F4027;F4027;36.736;25.277;madis;subhourly;GR;
GR_F4421;F4421;40.654;22.926;madis;subhourly;GR;
GR_F4505;F4505;40.318;23.077;madis;subhourly;GR;
GR_F4545;F4545;40.983;22.054;madis;subhourly;GR;
GR_F4691;F4691;37.436;24.933;madis;subhourly;GR;
GR_F4803;F4803;38.061;23.8;madis;subhourly;GR;
GR_F4804;F4804;38.9;21.783;madis;subhourly;GR;
GR_F4805;F4805;37.839;24.932;madis;subhourly;GR;
GR_F5422;F5422;37.877;23.753;madis;subhourly;GR;
GR_IBJD;IBJD;36.3;25.2;madis;subhourly;GR;
GR_KQNC;KQNC;35.533;24.15;isd;subhourly;GR;
GR_LGAD;LGAD;37.921;21.293;isd;subhourly;GR;
GR_LGAL;LGAL;40.856;25.956;isd;subhourly;GR;
GR_LGAT;LGAT;37.882;23.735;isd;subhourly;GR;
GR_LGAV;LGAV;37.936;23.944;isd;subhourly;GR;
GR_LGBL;LGBL;39.22;22.794;isd;subhourly;GR;
GR_LGBL;LGBL;39.217;22.8;isd;subhourly;GR;
GR_LGEL;LGEL;38.064;23.556;isd;subhourly;GR;
GR_LGHI;LGHI;38.343;26.141;isd;subhourly;GR;
GR_LGIO;LGIO;39.7;20.817;isd;subhourly;GR;
GR_LGIR;LGIR;35.34;25.18;isd;subhourly;GR;
GR_LGKA;LGKA;40.446;21.282;isd;subhourly;GR;
GR_LGKC;LGKC;36.274;23.017;isd;subhourly;GR;
GR_LGKF;LGKF;38.12;20.5;isd;subhourly;GR;
GR_LGKL;LGKL;37.068;22.026;isd;subhourly;GR;
GR_LGKO;LGKO;36.793;27.092;isd;subhourly;GR;
GR_LGKP;LGKP;35.421;27.146;isd;subhourly;GR;
GR_LGKR;LGKR;39.602;19.912;isd;subhourly;GR;
GR_LGKV;LGKV;40.913;24.619;isd;subhourly;GR;
GR_LGKZ;LGKZ;40.286;21.841;isd;subhourly;GR;
GR_LGLM;LGLM;39.917;25.236;isd;subhourly;GR;
GR_LGLR;LGLR;39.65;22.466;isd;subhourly;GR;
GR_LGMK;LGMK;37.435;25.348;isd;subhourly;GR;
GR_LGMT;LGMT;39.057;26.598;isd;subhourly;GR;
GR_LGNX;LGNX;37.083;25.367;isd;subhourly;GR;
GR_LGPA;LGPA;37.017;25.133;isd;subhourly;GR;
GR_LGPZ;LGPZ;38.925;20.765;isd;subhourly;GR;
GR_LGRP;LGRP;36.405;28.086;isd;subhourly;GR;
GR_LGRX;LGRX;38.151;21.426;isd;subhourly;GR;
GR_LGSA;LGSA;35.532;24.15;isd;subhourly;GR;
GR_LGSK;LGSK;39.177;23.504;isd;subhourly;GR;
GR_LGSM;LGSM;37.69;26.912;isd;subhourly;GR;
GR_LGSO;LGSO;37.423;24.951;isd;subhourly;GR;
GR_LGSR;LGSR;36.399;25.479;isd;subhourly;GR;
GR_LGSY;LGSY;38.968;24.487;isd;subhourly;GR;
GR_LGTG;LGTG;38.34;23.565;isd;subhourly;GR;
GR_LGTP;LGTP;37.531;22.404;isd;subhourly;GR;
GR_LGTS;LGTS;40.52;22.971;isd;subhourly;GR;
GR_LGTT;LGTT;38.109;23.784;isd;subhourly;GR;
GR_LGZA;LGZA;37.751;20.884;isd;subhourly;GR;
GR_LXLK;LXLK;35.3;22.3;madis;subhourly;GR;
GR_OWTW2;OWTW2;33.3;25.8;madis;subhourly;GR;
GR_OXOS2;OXOS2;35;19.8;madis;subhourly;GR;
GR_SYQO;SYQO;36;24.7;madis;subhourly;GR;
GR_SYSV;SYSV;37.2;26.2;madis;subhourly;GR;
GR_V7DJ5;V7DJ5;36.3;18.6;madis;subhourly;GR;
GR_V7OE6;V7OE6;36.6;26.7;madis;subhourly;GR;
GR_VQIB9;VQIB9;34.5;23.6;madis;subhourly;GR;
GR_VRGM8;VRGM8;35.7;29.2;madis;subhourly;GR;
GR_VRMY5;VRMY5;39.6;25.7;madis;subhourly;GR;
GR_VRRP8;VRRP8;34.1;24.1;madis;subhourly;GR;
GR_WSNU;WSNU;33.5;25;madis;subhourly;GR;
